Acl,2.3.2,https://download.savannah.gnu.org/releases/acl/acl-@.tar.xz,590765dee95907dbc3c856f7255bd669
Attr,2.5.2,https://download.savannah.gnu.org/releases/attr/attr-@.tar.gz,227043ec2f6ca03c0948df5517f9c927
Autoconf,2.72,https://ftp.gnu.org/gnu/autoconf/autoconf-@.tar.xz,1be79f7106ab6767f18391c5e22be701
Automake,1.18.1,https://ftp.gnu.org/gnu/automake/automake-@.tar.xz,cea31dbf1120f890cbf2a3032cfb9a68
Bash,5.3,https://ftp.gnu.org/gnu/bash/bash-@.tar.gz,977c8c0c5ae6309191e7768e28ebc951
Bc,7.0.3,https://github.com/gavinhoward/bc/releases/download/@/bc-@.tar.xz,ad4db5a0eb4fdbb3f6813be4b6b3da74
Binutils,2.45,https://sourceware.org/pub/binutils/releases/binutils-@.tar.xz,dee5b4267e0305a99a3c9d6131f45759
Bison,3.8.2,https://ftp.gnu.org/gnu/bison/bison-@.tar.xz,c28f119f405a2304ff0a7ccdcc629713
Bzip2,1.0.8,https://www.sourceware.org/pub/bzip2/bzip2-@.tar.gz,67e051268d0c475ea773822f7500d0e5
Coreutils,9.7,https://ftp.gnu.org/gnu/coreutils/coreutils-@.tar.xz,6b7285faf7d5eb91592bdd689270d3f1
DejaGNU,1.6.3,https://ftp.gnu.org/gnu/dejagnu/dejagnu-@.tar.gz,68c5208c58236eba447d7d6d1326b821
Diffutils,3.12,https://ftp.gnu.org/gnu/diffutils/diffutils-@.tar.xz,d1b18b20868fb561f77861cd90b05de4
E2fsprogs,1.47.3,https://downloads.sourceforge.net/project/e2fsprogs/e2fsprogs/v@/e2fsprogs-@.tar.gz,113d7a7ee0710d2a670a44692a35fd2e
Elfutils,0.193,https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2,ceefa052ded950a4c523688799193a44
Expat,2.7.1,https://github.com/libexpat/libexpat/releases/download/R_2_7_1/expat-@.tar.xz,9f0c266ff4b9720beae0c6bd53ae4469
Expect,5.45.4,https://prdownloads.sourceforge.net/expect/expect5.45.4.tar.gz,00fce8de158422f5ccd2666512329bd2
File,5.46,https://astron.com/pub/file/file-@.tar.gz,459da2d4b534801e2e2861611d823864
Findutils,4.10.0,https://ftp.gnu.org/gnu/findutils/findutils-@.tar.xz,870cfd71c07d37ebe56f9f4aaf4ad872
Flex,2.6.4,https://github.com/westes/flex/releases/download/v@/flex-@.tar.gz,2882e3179748cc9f9c23ec593d6adc8d
Flit-core,3.12.0,https://pypi.org/packages/source/f/flit-core/flit_core-@.tar.gz,c538415c1f27bd69cbbbf3cdd5135d39
Gawk,5.3.2,https://ftp.gnu.org/gnu/gawk/gawk-@.tar.xz,b7014650c5f45e5d4837c31209dc0037
GCC,15.2.0,https://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz,b861b092bf1af683c46a8aa2e689a6fd
GDBM,1.26,https://ftp.gnu.org/gnu/gdbm/gdbm-@.tar.gz,aaa600665bc89e2febb3c7bd90679115
Gettext,0.26,https://ftp.gnu.org/gnu/gettext/gettext-@.tar.xz,8e14e926f088e292f5f2bce95b81d10e
Glibc,2.42,https://ftp.gnu.org/gnu/glibc/glibc-@.tar.xz,23c6f5a27932b435cae94e087cb8b1f5
GMP,6.3.0,https://ftp.gnu.org/gnu/gmp/gmp-@.tar.xz,956dc04e864001a9c22429f761f2c283
Gperf,3.3,https://ftp.gnu.org/gnu/gperf/gperf-@.tar.gz,31753b021ea78a21f154bf9eecb8b079
Grep,3.12,https://ftp.gnu.org/gnu/grep/grep-@.tar.xz,5d9301ed9d209c4a88c8d3a6fd08b9ac
Groff,1.23.0,https://ftp.gnu.org/gnu/groff/groff-@.tar.gz,5e4f40315a22bb8a158748e7d5094c7d
GRUB,2.12,https://ftp.gnu.org/gnu/grub/grub-@.tar.xz,60c564b1bdc39d8e43b3aab4bc0fb140
Gzip,1.14,https://ftp.gnu.org/gnu/gzip/gzip-@.tar.xz,4bf5a10f287501ee8e8ebe00ef62b2c2
Iana-Etc,20250807,https://github.com/Mic92/iana-etc/releases/download/@/iana-etc-@.tar.gz,de0a909103d4ff59d1424c5ec7ac9e4a
Inetutils,2.6,https://ftp.gnu.org/gnu/inetutils/inetutils-@.tar.xz,401d7d07682a193960bcdecafd03de94
Intltool,0.51.0,https://launchpad.net/intltool/trunk/@/+download/intltool-@.tar.gz,12e517cac2b57a0121cda351570f1e63
IPRoute2,6.16.0,https://www.kernel.org/pub/linux/utils/net/iproute2/iproute2-@.tar.xz,80e1f91bf59d572acc15d5c6eb4f3e7c
Jinja2,3.1.6,https://pypi.org/packages/source/J/Jinja2/jinja2-@.tar.gz,66d4c25ff43d1deaf9637ccda523dec8
Kbd,2.8.0,https://www.kernel.org/pub/linux/utils/kbd/kbd-@.tar.xz,24b5d24f7483726b88f214dc6c77aa41
Kmod,34.2,https://www.kernel.org/pub/linux/utils/kernel/kmod/kmod-@.tar.xz,36f2cc483745e81ede3406fa55e1065a
Less,679,https://www.greenwoodsoftware.com/less/less-@.tar.gz,0386dc14f6a081a94dfb4c2413864eed
LFS-Bootscripts,20250827,https://www.linuxfromscratch.org/lfs/downloads/12.4/lfs-bootscripts-@.tar.xz,3f661c64c2dfb55025767ed56074d059
Libcap,2.76,https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-@.tar.xz,449ade7d620b5c4eeb15a632fbaa4f74
Libffi,3.5.2,https://github.com/libffi/libffi/releases/download/v@/libffi-@.tar.gz,92af9efad4ba398995abf44835c5d9e9
Libpipeline,1.5.8,https://download.savannah.gnu.org/releases/libpipeline/libpipeline-@.tar.gz,17ac6969b2015386bcb5d278a08a40b5
Libtool,2.5.4,https://ftp.gnu.org/gnu/libtool/libtool-@.tar.xz,22e0a29df8af5fdde276ea3a7d351d30
Libxcrypt,4.4.38,https://github.com/besser82/libxcrypt/releases/download/v@/libxcrypt-@.tar.xz,1796a5d20098e9dd9e3f576803c83000
Linux,6.16.1,https://www.kernel.org/pub/linux/kernel/v6.x/linux-@.tar.xz,32d45755e4b39d06e9be58f6817445ee
Lz4,1.10.0,https://github.com/lz4/lz4/releases/download/v@/lz4-@.tar.gz,dead9f5f1966d9ae56e1e32761e4e675
M4,1.4.20,https://ftp.gnu.org/gnu/m4/m4-@.tar.xz,6eb2ebed5b24e74b6e890919331d2132
Make,4.4.1,https://ftp.gnu.org/gnu/make/make-@.tar.gz,c8469a3713cbbe04d955d4ae4be23eeb
Man-DB,2.13.1,https://download.savannah.gnu.org/releases/man-db/man-db-@.tar.xz,b6335533cbeac3b24cd7be31fdee8c83
Man-pages,6.15,https://www.kernel.org/pub/linux/docs/man-pages/man-pages-@.tar.xz,16f68d70139dd2bbcae4102be4705753
MarkupSafe,3.0.2,https://pypi.org/packages/source/M/MarkupSafe/markupsafe-@.tar.gz,cb0071711b573b155cc8f86e1de72167
Meson,1.8.3,https://github.com/mesonbuild/meson/releases/download/@/meson-@.tar.gz,08221d2f515e759686f666ff6409a903
MPC,1.3.1,https://ftp.gnu.org/gnu/mpc/mpc-@.tar.gz,5c9bc658c9fd0f940e8e3e0f09530c62
MPFR,4.2.2,https://ftp.gnu.org/gnu/mpfr/mpfr-@.tar.xz,7c32c39b8b6e3ae85f25156228156061
Ncurses,6.6-20260530,https://invisible-mirror.net/archives/ncurses/current/ncurses-@.tgz,303367b7c137263d5d918d8427d57736
Ninja,1.13.1,https://github.com/ninja-build/ninja/archive/v@/ninja-@.tar.gz,c35f8f55f4cf60f1a916068d8f45a0f8
OpenSSL,3.5.2,https://github.com/openssl/openssl/releases/download/openssl-@/openssl-@.tar.gz,890fc59f86fc21b5e4d1c031a698dbde
